,Job Number,Matched Skills
0,1,[]
1,2,"['Design C# Solution Architectures', 'Filesystem Storage Assessment', 'Software Issues User Feedback Documentation', 'C++ Pointer Usage', 'Basic Calculations', 'System Performance Modification', 'Task Logic Analysis', 'Create Diagrams']"
2,3,"['Write Data Validation SQL Scripts', 'System Software Issue Resolution', 'File Log Debugging Analysis', 'System Performance Modification', 'Amazon Web Services (AWS) Internet of Things (IoT) Software Development', 'Deep Learning Model Training']"
3,4,"['Write Data Validation SQL Scripts', 'System Performance Modification', 'Query Result Exporting', 'Test Scenario and Question Preparation', 'Python Variables Declaration', 'High-Fidelity Prototype Build']"
4,5,"['Web Application Solutions Development', 'Design C# Solution Architectures', 'Write Data Validation SQL Scripts', 'Image Filters Application']"
5,6,"['C++ Pointer Usage', 'System Software Issue Resolution', 'Visual Dashboard Building', 'Agile Solutions Development', 'Graphics Processing Unit (GPU) Advantage Description', 'System Performance Modification', 'Database Issue Troubleshooting', 'C++ Variable Declaration', 'Internet Games Development', 'Design C# Solution Architectures', 'File Log Debugging Analysis', 'Low-Fidelity Prototype Creation', 'Union Creation']"
6,7,['Design C# Solution Architectures']
7,8,"['List, Stack, and Queue Differentiation', 'Provide Customization Settings', 'System Performance Modification']"
8,9,"['Write Data Validation SQL Scripts', 'Unneeded Technology Services Identification', 'Database Application Interface Design']"
9,10,"['Write Data Validation SQL Scripts', 'Build Google Cloud Continuous Integration and Continuous Delivery (CI/CD) Pipeline', 'Software Issues User Feedback Documentation']"
10,11,"['Reporting Needs Improvement Identification', 'Database Storage Assessment', 'Deep Learning Model Training', 'System Software Issue Resolution', 'Software Pipeline Implementation', 'System Performance Modification', 'Query Result Exporting', 'Value-Add Improvement Execution', 'Program Central Processing Unit (CPU) Access Explanation', 'Error Type Differentiation']"
11,12,"['Data Set Processes Creation', 'Deep Learning Model Training', 'Database Application Interface Design', 'Write Data Validation SQL Scripts', 'Data Structure Operation', 'Business Application Database Design']"
12,13,['File Processing Software Development']
13,14,"['High-Fidelity Prototype Build', 'Build Google Cloud Continuous Integration and Continuous Delivery (CI/CD) Pipeline']"
14,15,"['High-Fidelity Prototype Build', 'Software Issues User Feedback Documentation', 'System Performance Modification', 'Test Scenario and Question Preparation', 'Basic Calculations', 'Log Analysis', 'Graphics Processing Unit (GPU) Advantage Description', 'Needs Consideration', 'Amazon Web Services (AWS) Applications Development', 'Troubleshoot Algorithm Debugging', 'Reflective Body Language', 'C++ Pointer Usage']"
15,16,"['System Performance Modification', 'Needs Consideration', 'User Privacy Prioritization', 'Design APIs', 'Application, Service, or Data Store Engineering', 'Business Back-Up Requirements Identification', 'Style Design']"
16,17,"['Skills Development Prioritization', 'Business Application Database Design', 'Permission Assessment', 'Customer Experience Assessment', 'Identify Data Visibility Requirements', 'Software Issues User Feedback Documentation', 'System Performance Modification']"
17,18,"['Write Data Validation SQL Scripts', 'Business Application Database Design', 'Software Issues User Feedback Documentation', 'Basic Calculations', 'Application Profiling Debugging Assessment', 'Business Units Analysis']"
18,19,"['System Software Issue Resolution', 'Business Units Analysis', 'Basic Calculations', 'High-Fidelity Prototype Build', 'Software Issues User Feedback Documentation']"
19,20,"['Write Data Validation SQL Scripts', 'Contextual Analysis', 'Business Application Database Design', 'Business Requirements Functional Testing Analysis', 'Software Issues User Feedback Documentation', 'Database Storage Assessment']"
